scheduleId,startTime,endTime
1,2019-01-01 10:00:00,2019-01-01 11:00:00
1,2019-01-01 12:00:00,2019-01-01 14:00:00
1,2019-01-01 15:00:00,2019-01-01 16:00:00
1,2019-01-01 19:00:00,2019-01-01 21:00:00
1,2019-01-02 10:00:00,2019-01-02 14:00:00
1,2019-01-02 15:00:00,2019-01-02 16:00:00
1,2019-01-02 19:00:00,2019-01-02 20:00:00
1,2019-01-03 10:00:00,2019-01-03 11:00:00
1,2019-01-03 16:00:00,2019-01-03 20:00:00
1,2019-01-04 12:00:00,2019-01-04 13:00:00
1,2019-01-04 15:00:00,2019-01-04 16:00:00
1,2019-01-05 13:00:00,2019-01-05 15:00:00
1,2019-01-05 16:00:00,2019-01-05 18:00:00
1,2019-01-05 20:00:00,2019-01-05 22:00:00
1,2019-01-06 10:00:00,2019-01-06 11:00:00
1,2019-01-06 12:00:00,2019-01-06 13:00:00
1,2019-01-06 15:00:00,2019-01-06 18:00:00
1,2019-01-06 19:00:00,2019-01-06 20:00:00
2,2019-01-08 10:00:00,2019-01-08 13:00:00
2,2019-01-08 14:00:00,2019-01-08 17:00:00
2,2019-01-08 18:00:00,2019-01-08 19:00:00
2,2019-01-09 10:00:00,2019-01-09 11:00:00
2,2019-01-09 12:00:00,2019-01-09 15:00:00
3,2019-01-15 10:00:00,2019-01-15 11:00:00
3,2019-01-15 13:00:00,2019-01-15 14:00:00
3,2019-01-15 15:00:00,2019-01-15 18:00:00
3,2019-01-16 11:00:00,2019-01-16 12:00:00
3,2019-01-16 13:00:00,2019-01-16 14:00:00
3,2019-01-16 15:00:00,2019-01-16 16:00:00
3,2019-01-16 17:00:00,2019-01-16 18:00:00
3,2019-01-16 19:00:00,2019-01-16 20:00:00
3,2019-01-16 21:00:00,2019-01-16 22:00:00
3,2019-01-17 11:00:00,2019-01-17 12:00:00
3,2019-01-17 13:00:00,2019-01-17 16:00:00
4,2019-01-22 11:00:00,2019-01-22 13:00:00
4,2019-01-22 14:00:00,2019-01-22 15:00:00
4,2019-01-22 16:00:00,2019-01-22 19:00:00
4,2019-01-23 11:00:00,2019-01-23 12:00:00
4,2019-01-23 13:00:00,2019-01-23 14:00:00
4,2019-01-23 15:00:00,2019-01-23 16:00:00
4,2019-01-23 17:00:00,2019-01-23 20:00:00
4,2019-01-24 11:00:00,2019-01-24 12:00:00
4,2019-01-24 13:00:00,2019-01-24 16:00:00
5,2019-01-29 12:00:00,2019-01-29 14:00:00
5,2019-01-29 16:00:00,2019-01-29 18:00:00
5,2019-01-29 19:00:00,2019-01-29 22:00:00
5,2019-01-30 11:00:00,2019-01-30 14:00:00
5,2019-01-30 15:00:00,2019-01-30 17:00:00
5,2019-01-30 18:00:00,2019-01-30 19:00:00
6,2019-02-06 12:00:00,2019-02-06 13:00:00
6,2019-02-06 16:00:00,2019-02-06 19:00:00
6,2019-02-07 10:00:00,2019-02-07 13:00:00
6,2019-02-07 14:00:00,2019-02-07 16:00:00
6,2019-02-07 17:00:00,2019-02-07 19:00:00
6,2019-02-08 12:00:00,2019-02-08 13:00:00
7,2019-02-14 11:00:00,2019-02-14 12:00:00
7,2019-02-14 13:00:00,2019-02-14 16:00:00
7,2019-02-14 18:00:00,2019-02-14 19:00:00
7,2019-02-14 20:00:00,2019-02-14 21:00:00
7,2019-02-15 11:00:00,2019-02-15 12:00:00
7,2019-02-15 14:00:00,2019-02-15 15:00:00
7,2019-02-15 16:00:00,2019-02-15 20:00:00
7,2019-02-15 21:00:00,2019-02-15 22:00:00
7,2019-02-16 10:00:00,2019-02-16 12:00:00
7,2019-02-16 13:00:00,2019-02-16 14:00:00
7,2019-02-16 15:00:00,2019-02-16 17:00:00
8,2019-02-21 11:00:00,2019-02-21 12:00:00
8,2019-02-21 13:00:00,2019-02-21 15:00:00
8,2019-02-21 16:00:00,2019-02-21 17:00:00
8,2019-02-21 18:00:00,2019-02-21 19:00:00
8,2019-02-21 20:00:00,2019-02-21 21:00:00
8,2019-02-22 14:00:00,2019-02-22 15:00:00
8,2019-02-22 17:00:00,2019-02-22 19:00:00
8,2019-02-22 20:00:00,2019-02-22 21:00:00
8,2019-02-23 10:00:00,2019-02-23 13:00:00
8,2019-02-23 15:00:00,2019-02-23 16:00:00
8,2019-02-23 17:00:00,2019-02-23 19:00:00
8,2019-02-23 21:00:00,2019-02-23 22:00:00
8,2019-02-24 10:00:00,2019-02-24 12:00:00
8,2019-02-24 13:00:00,2019-02-24 14:00:00
8,2019-02-24 15:00:00,2019-02-24 16:00:00
8,2019-02-24 18:00:00,2019-02-24 19:00:00
9,2019-03-01 13:00:00,2019-03-01 14:00:00
9,2019-03-01 15:00:00,2019-03-01 18:00:00
9,2019-03-01 20:00:00,2019-03-01 21:00:00
9,2019-03-02 10:00:00,2019-03-02 11:00:00
9,2019-03-02 12:00:00,2019-03-02 16:00:00
9,2019-03-02 18:00:00,2019-03-02 22:00:00
9,2019-03-03 10:00:00,2019-03-03 13:00:00
9,2019-03-03 16:00:00,2019-03-03 18:00:00
9,2019-03-03 20:00:00,2019-03-03 21:00:00
9,2019-03-04 11:00:00,2019-03-04 14:00:00
9,2019-03-04 15:00:00,2019-03-04 16:00:00
9,2019-03-04 19:00:00,2019-03-04 20:00:00
9,2019-03-05 10:00:00,2019-03-05 12:00:00
9,2019-03-05 13:00:00,2019-03-05 14:00:00
9,2019-03-05 15:00:00,2019-03-05 16:00:00
9,2019-03-05 17:00:00,2019-03-05 18:00:00
9,2019-03-06 10:00:00,2019-03-06 11:00:00
10,2019-03-08 10:00:00,2019-03-08 14:00:00
10,2019-03-08 17:00:00,2019-03-08 18:00:00
10,2019-03-08 20:00:00,2019-03-08 22:00:00
10,2019-03-09 10:00:00,2019-03-09 13:00:00
11,2019-03-16 10:00:00,2019-03-16 12:00:00
11,2019-03-16 13:00:00,2019-03-16 15:00:00
11,2019-03-16 16:00:00,2019-03-16 19:00:00
11,2019-03-16 20:00:00,2019-03-16 22:00:00
11,2019-03-17 14:00:00,2019-03-17 17:00:00
11,2019-03-17 19:00:00,2019-03-17 20:00:00
11,2019-03-17 21:00:00,2019-03-17 22:00:00
11,2019-03-18 12:00:00,2019-03-18 13:00:00
11,2019-03-18 14:00:00,2019-03-18 15:00:00
11,2019-03-18 18:00:00,2019-03-18 19:00:00
11,2019-03-18 21:00:00,2019-03-18 22:00:00
11,2019-03-19 13:00:00,2019-03-19 15:00:00
11,2019-03-19 16:00:00,2019-03-19 17:00:00
11,2019-03-19 18:00:00,2019-03-19 19:00:00
11,2019-03-19 20:00:00,2019-03-19 22:00:00
11,2019-03-20 10:00:00,2019-03-20 11:00:00
11,2019-03-20 12:00:00,2019-03-20 13:00:00
11,2019-03-20 14:00:00,2019-03-20 16:00:00
11,2019-03-20 17:00:00,2019-03-20 19:00:00
11,2019-03-21 10:00:00,2019-03-21 12:00:00
11,2019-03-21 16:00:00,2019-03-21 18:00:00
12,2019-03-26 10:00:00,2019-03-26 11:00:00
12,2019-03-26 12:00:00,2019-03-26 13:00:00
12,2019-03-26 15:00:00,2019-03-26 17:00:00
12,2019-03-26 18:00:00,2019-03-26 19:00:00
12,2019-03-26 20:00:00,2019-03-26 21:00:00
12,2019-03-27 12:00:00,2019-03-27 14:00:00
12,2019-03-27 15:00:00,2019-03-27 18:00:00
12,2019-03-27 20:00:00,2019-03-27 21:00:00
12,2019-03-28 11:00:00,2019-03-28 12:00:00
12,2019-03-28 13:00:00,2019-03-28 15:00:00
12,2019-03-28 17:00:00,2019-03-28 21:00:00
12,2019-03-29 14:00:00,2019-03-29 15:00:00
13,2019-04-05 10:00:00,2019-04-05 11:00:00
13,2019-04-05 12:00:00,2019-04-05 15:00:00
13,2019-04-05 17:00:00,2019-04-05 19:00:00
13,2019-04-05 20:00:00,2019-04-05 22:00:00
13,2019-04-06 10:00:00,2019-04-06 11:00:00
13,2019-04-06 13:00:00,2019-04-06 14:00:00
13,2019-04-06 16:00:00,2019-04-06 17:00:00
13,2019-04-06 18:00:00,2019-04-06 19:00:00
13,2019-04-07 12:00:00,2019-04-07 14:00:00
13,2019-04-07 15:00:00,2019-04-07 17:00:00
13,2019-04-08 10:00:00,2019-04-08 11:00:00
13,2019-04-08 13:00:00,2019-04-08 15:00:00
13,2019-04-08 18:00:00,2019-04-08 19:00:00
13,2019-04-08 20:00:00,2019-04-08 22:00:00
13,2019-04-09 10:00:00,2019-04-09 12:00:00
13,2019-04-09 13:00:00,2019-04-09 16:00:00
13,2019-04-09 17:00:00,2019-04-09 18:00:00
13,2019-04-09 19:00:00,2019-04-09 22:00:00
13,2019-04-10 10:00:00,2019-04-10 11:00:00
13,2019-04-10 14:00:00,2019-04-10 15:00:00
13,2019-04-10 17:00:00,2019-04-10 18:00:00
13,2019-04-10 21:00:00,2019-04-10 22:00:00
13,2019-04-11 10:00:00,2019-04-11 12:00:00
13,2019-04-11 16:00:00,2019-04-11 17:00:00
13,2019-04-11 18:00:00,2019-04-11 20:00:00
13,2019-04-11 21:00:00,2019-04-11 22:00:00
14,2019-04-12 10:00:00,2019-04-12 11:00:00
