scheduleId,startTime,endTime
880,2019-01-01 10:00:00,2019-01-01 14:00:00
880,2019-01-01 15:00:00,2019-01-01 19:00:00
880,2019-01-02 13:00:00,2019-01-02 17:00:00
880,2019-01-02 18:00:00,2019-01-02 22:00:00
880,2019-01-03 10:00:00,2019-01-03 14:00:00
880,2019-01-03 15:00:00,2019-01-03 19:00:00
880,2019-01-04 12:00:00,2019-01-04 16:00:00
880,2019-01-04 17:00:00,2019-01-04 21:00:00
880,2019-01-05 13:00:00,2019-01-05 17:00:00
880,2019-01-05 18:00:00,2019-01-05 22:00:00
881,2019-01-08 10:00:00,2019-01-08 14:00:00
881,2019-01-08 15:00:00,2019-01-08 19:00:00
881,2019-01-09 13:00:00,2019-01-09 17:00:00
881,2019-01-09 18:00:00,2019-01-09 22:00:00
881,2019-01-10 10:00:00,2019-01-10 14:00:00
881,2019-01-10 15:00:00,2019-01-10 19:00:00
881,2019-01-11 12:00:00,2019-01-11 16:00:00
881,2019-01-11 17:00:00,2019-01-11 21:00:00
881,2019-01-12 13:00:00,2019-01-12 17:00:00
881,2019-01-12 18:00:00,2019-01-12 22:00:00
882,2019-01-15 10:00:00,2019-01-15 14:00:00
882,2019-01-15 15:00:00,2019-01-15 19:00:00
882,2019-01-16 13:00:00,2019-01-16 17:00:00
882,2019-01-16 18:00:00,2019-01-16 22:00:00
882,2019-01-17 10:00:00,2019-01-17 14:00:00
882,2019-01-17 15:00:00,2019-01-17 19:00:00
882,2019-01-18 12:00:00,2019-01-18 16:00:00
882,2019-01-18 17:00:00,2019-01-18 21:00:00
882,2019-01-19 13:00:00,2019-01-19 17:00:00
882,2019-01-19 18:00:00,2019-01-19 22:00:00
883,2019-01-22 10:00:00,2019-01-22 14:00:00
883,2019-01-22 15:00:00,2019-01-22 19:00:00
883,2019-01-23 13:00:00,2019-01-23 17:00:00
883,2019-01-23 18:00:00,2019-01-23 22:00:00
883,2019-01-24 10:00:00,2019-01-24 14:00:00
883,2019-01-24 15:00:00,2019-01-24 19:00:00
883,2019-01-25 12:00:00,2019-01-25 16:00:00
883,2019-01-25 17:00:00,2019-01-25 21:00:00
883,2019-01-26 13:00:00,2019-01-26 17:00:00
883,2019-01-26 18:00:00,2019-01-26 22:00:00
884,2019-02-01 12:00:00,2019-02-01 16:00:00
884,2019-02-01 17:00:00,2019-02-01 21:00:00
884,2019-02-02 11:00:00,2019-02-02 15:00:00
884,2019-02-02 16:00:00,2019-02-02 20:00:00
884,2019-02-03 10:00:00,2019-02-03 14:00:00
884,2019-02-03 15:00:00,2019-02-03 19:00:00
884,2019-02-04 10:00:00,2019-02-04 14:00:00
884,2019-02-04 15:00:00,2019-02-04 19:00:00
884,2019-02-05 12:00:00,2019-02-05 16:00:00
884,2019-02-05 17:00:00,2019-02-05 21:00:00
885,2019-02-08 12:00:00,2019-02-08 16:00:00
885,2019-02-08 17:00:00,2019-02-08 21:00:00
885,2019-02-09 11:00:00,2019-02-09 15:00:00
885,2019-02-09 16:00:00,2019-02-09 20:00:00
885,2019-02-10 10:00:00,2019-02-10 14:00:00
885,2019-02-10 15:00:00,2019-02-10 19:00:00
885,2019-02-11 10:00:00,2019-02-11 14:00:00
885,2019-02-11 15:00:00,2019-02-11 19:00:00
