orderid,userid,departtimeforrestaurant,departtimefromrestaurant,arrivaltimeatrestaurant,deliverytimetocustomer,rating
1,67,2019-01-01 10:19:00,2019-01-01 10:34:00,2019-01-01 10:40:00,2019-01-01 10:56:00,5
2,48,2019-01-01 12:21:00,2019-01-01 12:34:00,2019-01-01 12:42:00,2019-01-01 13:00:00,4
3,81,2019-01-01 12:39:00,2019-01-01 12:57:00,2019-01-01 13:07:00,2019-01-01 13:15:00,5
4,53,2019-01-01 14:19:00,2019-01-01 14:28:00,2019-01-01 14:34:00,2019-01-01 14:48:00,3
5,56,2019-01-01 15:24:00,2019-01-01 15:37:00,2019-01-01 15:53:00,2019-01-01 15:59:00,4
6,64,2019-01-01 15:34:00,2019-01-01 15:46:00,2019-01-01 16:02:00,2019-01-01 16:17:00,4
7,73,2019-01-01 15:48:00,2019-01-01 16:05:00,2019-01-01 16:19:00,2019-01-01 16:34:00,4
8,76,2019-01-01 16:51:00,2019-01-01 16:58:00,2019-01-01 17:13:00,2019-01-01 17:18:00,4
9,49,2019-01-01 16:58:00,2019-01-01 17:09:00,2019-01-01 17:20:00,2019-01-01 17:37:00,3
10,53,2019-01-01 17:01:00,2019-01-01 17:19:00,2019-01-01 17:24:00,2019-01-01 17:39:00,3
11,77,2019-01-01 18:46:00,2019-01-01 18:55:00,2019-01-01 19:12:00,2019-01-01 19:23:00,5
12,68,2019-01-01 19:20:00,2019-01-01 19:29:00,2019-01-01 19:39:00,2019-01-01 19:54:00,3
13,70,2019-01-01 20:52:00,2019-01-01 21:08:00,2019-01-01 21:15:00,2019-01-01 21:26:00,5
14,43,2019-01-02 12:53:00,2019-01-02 13:03:00,2019-01-02 13:15:00,2019-01-02 13:34:00,3
15,60,2019-01-02 13:29:00,2019-01-02 13:48:00,2019-01-02 13:59:00,2019-01-02 14:07:00,4
16,81,2019-01-02 16:45:00,2019-01-02 16:58:00,2019-01-02 17:07:00,2019-01-02 17:14:00,5
17,77,2019-01-02 18:00:00,2019-01-02 18:19:00,2019-01-02 18:29:00,2019-01-02 18:42:00,3
18,64,2019-01-02 20:33:00,2019-01-02 20:42:00,2019-01-02 21:01:00,2019-01-02 21:06:00,5
19,74,2019-01-03 11:38:00,2019-01-03 11:51:00,2019-01-03 11:58:00,2019-01-03 12:07:00,3
