scheduleId,startTime,endTime
21,2019-01-03 10:00:00,2019-01-03 14:00:00
21,2019-01-03 15:00:00,2019-01-03 19:00:00
21,2019-01-04 13:00:00,2019-01-04 17:00:00
21,2019-01-04 18:00:00,2019-01-04 22:00:00
21,2019-01-05 10:00:00,2019-01-05 14:00:00
21,2019-01-05 15:00:00,2019-01-05 19:00:00
21,2019-01-06 11:00:00,2019-01-06 15:00:00
21,2019-01-06 16:00:00,2019-01-06 20:00:00
21,2019-01-07 12:00:00,2019-01-07 16:00:00
21,2019-01-07 17:00:00,2019-01-07 21:00:00
22,2019-01-10 10:00:00,2019-01-10 14:00:00
22,2019-01-10 15:00:00,2019-01-10 19:00:00
22,2019-01-11 13:00:00,2019-01-11 17:00:00
22,2019-01-11 18:00:00,2019-01-11 22:00:00
22,2019-01-12 10:00:00,2019-01-12 14:00:00
22,2019-01-12 15:00:00,2019-01-12 19:00:00
22,2019-01-13 11:00:00,2019-01-13 15:00:00
22,2019-01-13 16:00:00,2019-01-13 20:00:00
22,2019-01-14 12:00:00,2019-01-14 16:00:00
22,2019-01-14 17:00:00,2019-01-14 21:00:00
23,2019-01-17 10:00:00,2019-01-17 14:00:00
23,2019-01-17 15:00:00,2019-01-17 19:00:00
23,2019-01-18 13:00:00,2019-01-18 17:00:00
23,2019-01-18 18:00:00,2019-01-18 22:00:00
23,2019-01-19 10:00:00,2019-01-19 14:00:00
23,2019-01-19 15:00:00,2019-01-19 19:00:00
23,2019-01-20 11:00:00,2019-01-20 15:00:00
23,2019-01-20 16:00:00,2019-01-20 20:00:00
23,2019-01-21 12:00:00,2019-01-21 16:00:00
23,2019-01-21 17:00:00,2019-01-21 21:00:00
24,2019-01-24 10:00:00,2019-01-24 14:00:00
24,2019-01-24 15:00:00,2019-01-24 19:00:00
24,2019-01-25 13:00:00,2019-01-25 17:00:00
24,2019-01-25 18:00:00,2019-01-25 22:00:00
24,2019-01-26 10:00:00,2019-01-26 14:00:00
24,2019-01-26 15:00:00,2019-01-26 19:00:00
24,2019-01-27 11:00:00,2019-01-27 15:00:00
24,2019-01-27 16:00:00,2019-01-27 20:00:00
24,2019-01-28 12:00:00,2019-01-28 16:00:00
24,2019-01-28 17:00:00,2019-01-28 21:00:00
25,2019-01-01 11:00:00,2019-01-01 15:00:00
25,2019-01-01 16:00:00,2019-01-01 20:00:00
25,2019-01-02 10:00:00,2019-01-02 14:00:00
25,2019-01-02 15:00:00,2019-01-02 19:00:00
25,2019-01-03 13:00:00,2019-01-03 17:00:00
25,2019-01-03 18:00:00,2019-01-03 22:00:00
25,2019-01-04 13:00:00,2019-01-04 17:00:00
25,2019-01-04 18:00:00,2019-01-04 22:00:00
25,2019-01-05 13:00:00,2019-01-05 17:00:00
25,2019-01-05 18:00:00,2019-01-05 22:00:00
26,2019-01-08 11:00:00,2019-01-08 15:00:00
26,2019-01-08 16:00:00,2019-01-08 20:00:00
26,2019-01-09 10:00:00,2019-01-09 14:00:00
26,2019-01-09 15:00:00,2019-01-09 19:00:00
26,2019-01-10 13:00:00,2019-01-10 17:00:00
26,2019-01-10 18:00:00,2019-01-10 22:00:00
26,2019-01-11 13:00:00,2019-01-11 17:00:00
26,2019-01-11 18:00:00,2019-01-11 22:00:00
26,2019-01-12 13:00:00,2019-01-12 17:00:00
26,2019-01-12 18:00:00,2019-01-12 22:00:00
27,2019-01-15 11:00:00,2019-01-15 15:00:00
27,2019-01-15 16:00:00,2019-01-15 20:00:00
