fname,rname,price,availability
Lettuce,Lacus Inc.,19,62
Lettuce,Curabitur LLP,7,92
Lettuce,Ornare Ltd,5,80
Lettuce,Egestas Urna Ltd,26,60
Lettuce,Convallis In Limited,3,72
Lettuce,Dignissim Company,9,33
Lettuce,Libero Dui PC,18,26
Lettuce,Ligula PC,10,35
Lettuce,Amet Consectetuer Corp.,29,42
Lettuce,Nulla Semper Industries,22,47
Cheese,Lacus Inc.,27,90
Cheese,Curabitur LLP,8,93
Cheese,Ornare Ltd,5,43
Cheese,Egestas Urna Ltd,6,28
Cheese,Convallis In Limited,17,23
Cheese,Dignissim Company,9,82
Cheese,Libero Dui PC,29,29
Cheese,Ligula PC,3,24
Cheese,Amet Consectetuer Corp.,7,25
Cheese,Nulla Semper Industries,29,34
Croissant,Lacus Inc.,14,73
Croissant,Curabitur LLP,3,98
Croissant,Ornare Ltd,11,32
Croissant,Egestas Urna Ltd,24,35
Croissant,Convallis In Limited,13,42
Croissant,Dignissim Company,17,74
Croissant,Libero Dui PC,6,42
Lobster,Ligula PC,17,97
Lobster,Amet Consectetuer Corp.,10,22
Lobster,Nulla Semper Industries,27,66
Barramundi,Lacus Inc.,3,71
Barramundi,Curabitur LLP,25,46
Barramundi,Ornare Ltd,28,26
Barramundi,Egestas Urna Ltd,15,39
Barramundi,Convallis In Limited,11,32
Tomato,Convallis In Limited,24,20
Tomato,Dignissim Company,5,98
Tomato,Libero Dui PC,2,87
Tomato,Ligula PC,30,43
Tomato,Amet Consectetuer Corp.,6,73
Tomato,Nulla Semper Industries,5,32
Tuna,Lacus Inc.,16,47
Tuna,Curabitur LLP,7,61
Tuna,Ornare Ltd,6,77
Tuna,Egestas Urna Ltd,25,96
Tuna,Convallis In Limited,3,95
Tuna,Dignissim Company,24,66
Tuna,Libero Dui PC,3,21
Tuna,Ligula PC,29,89
Corn,Convallis In Limited,17,82
Corn,Dignissim Company,23,45
Corn,Libero Dui PC,22,63
Corn,Ligula PC,27,45
Corn,Amet Consectetuer Corp.,18,26
Corn,Nulla Semper Industries,4,26
Beer,Lacus Inc.,24,37
Beer,Curabitur LLP,17,22
Beer,Ornare Ltd,28,94
Beer,Egestas Urna Ltd,28,52
Beer,Convallis In Limited,14,67
Cocktail,Convallis In Limited,28,38
Cocktail,Dignissim Company,10,39
Cocktail,Libero Dui PC,28,56
Cocktail,Ligula PC,28,85
Cocktail,Amet Consectetuer Corp.,29,90
Cocktail,Nulla Semper Industries,22,37
Pastry,Lacus Inc.,19,62
Pastry,Curabitur LLP,7,92
Pastry,Ornare Ltd,5,80
Pastry,Egestas Urna Ltd,26,60
Pastry,Convallis In Limited,3,72
Pastry,Dignissim Company,9,33
Basil,Nulla Semper Industries,29,34
Bread,Lacus Inc.,14,73
Bread,Curabitur LLP,3,98
Bread,Ornare Ltd,11,32
Bread,Egestas Urna Ltd,24,35
Bread,Convallis In Limited,13,42
Bread,Dignissim Company,17,74
Bread,Libero Dui PC,6,42
Bread,Ligula PC,13,36
Bread,Amet Consectetuer Corp.,30,66
Bread,Nulla Semper Industries,20,92
Yoplait,Lacus Inc.,10,50
Yoplait,Curabitur LLP,21,91
Yoplait,Ornare Ltd,2,41
Yoplait,Egestas Urna Ltd,16,33
Yoplait,Convallis In Limited,16,99
Yoplait,Dignissim Company,4,91
Coffee,Convallis In Limited,11,32
Coffee,Dignissim Company,19,88
Coffee,Libero Dui PC,5,36
Coffee,Ligula PC,22,36
Coffee,Amet Consectetuer Corp.,22,35
Coffee,Nulla Semper Industries,24,43
Shrimp,Lacus Inc.,19,45
Shrimp,Curabitur LLP,26,89
Shrimp,Ornare Ltd,18,80
Shrimp,Egestas Urna Ltd,6,27
Shrimp,Convallis In Limited,24,20
Shrimp,Dignissim Company,5,98
Shrimp,Libero Dui PC,2,87
Shrimp,Ligula PC,30,43
Shrimp,Amet Consectetuer Corp.,6,73
Shrimp,Nulla Semper Industries,5,32
Beef,Lacus Inc.,16,47
Beef,Curabitur LLP,7,61
Beef,Ornare Ltd,6,77
Beef,Egestas Urna Ltd,25,96
Beef,Convallis In Limited,3,95
Beef,Dignissim Company,24,66
Beef,Libero Dui PC,3,21
Beef,Ligula PC,29,89
Beef,Amet Consectetuer Corp.,12,49
Beef,Nulla Semper Industries,7,48
Cream,Lacus Inc.,5,47
Cream,Curabitur LLP,24,87
Cream,Ornare Ltd,23,85
Cream,Egestas Urna Ltd,4,98
Cream,Convallis In Limited,17,82
Cream,Dignissim Company,23,45
Cream,Libero Dui PC,22,63
Cream,Ligula PC,27,45
Cream,Amet Consectetuer Corp.,18,26
Cream,Nulla Semper Industries,4,26
