scheduleId,startTime,endTime
14,2019-01-03 13:00:00,2019-01-03 17:00:00
14,2019-01-03 18:00:00,2019-01-03 22:00:00
14,2019-01-04 10:00:00,2019-01-04 14:00:00
14,2019-01-04 15:00:00,2019-01-04 19:00:00
14,2019-01-05 10:00:00,2019-01-05 14:00:00
14,2019-01-05 15:00:00,2019-01-05 19:00:00
14,2019-01-06 11:00:00,2019-01-06 15:00:00
14,2019-01-06 16:00:00,2019-01-06 20:00:00
14,2019-01-07 10:00:00,2019-01-07 14:00:00
14,2019-01-07 15:00:00,2019-01-07 19:00:00
15,2019-01-10 13:00:00,2019-01-10 17:00:00
15,2019-01-10 18:00:00,2019-01-10 22:00:00
15,2019-01-11 10:00:00,2019-01-11 14:00:00
15,2019-01-11 15:00:00,2019-01-11 19:00:00
15,2019-01-12 10:00:00,2019-01-12 14:00:00
15,2019-01-12 15:00:00,2019-01-12 19:00:00
15,2019-01-13 11:00:00,2019-01-13 15:00:00
15,2019-01-13 16:00:00,2019-01-13 20:00:00
15,2019-01-14 10:00:00,2019-01-14 14:00:00
15,2019-01-14 15:00:00,2019-01-14 19:00:00
16,2019-01-17 13:00:00,2019-01-17 17:00:00
16,2019-01-17 18:00:00,2019-01-17 22:00:00
16,2019-01-18 10:00:00,2019-01-18 14:00:00
16,2019-01-18 15:00:00,2019-01-18 19:00:00
16,2019-01-19 10:00:00,2019-01-19 14:00:00
16,2019-01-19 15:00:00,2019-01-19 19:00:00
16,2019-01-20 11:00:00,2019-01-20 15:00:00
16,2019-01-20 16:00:00,2019-01-20 20:00:00
16,2019-01-21 10:00:00,2019-01-21 14:00:00
16,2019-01-21 15:00:00,2019-01-21 19:00:00
17,2019-01-24 13:00:00,2019-01-24 17:00:00
17,2019-01-24 18:00:00,2019-01-24 22:00:00
17,2019-01-25 10:00:00,2019-01-25 14:00:00
17,2019-01-25 15:00:00,2019-01-25 19:00:00
17,2019-01-26 10:00:00,2019-01-26 14:00:00
17,2019-01-26 15:00:00,2019-01-26 19:00:00
17,2019-01-27 11:00:00,2019-01-27 15:00:00
17,2019-01-27 16:00:00,2019-01-27 20:00:00
17,2019-01-28 10:00:00,2019-01-28 14:00:00
17,2019-01-28 15:00:00,2019-01-28 19:00:00
18,2019-01-29 11:00:00,2019-01-29 15:00:00
18,2019-01-29 16:00:00,2019-01-29 20:00:00
18,2019-01-30 12:00:00,2019-01-30 16:00:00
18,2019-01-30 17:00:00,2019-01-30 21:00:00
18,2019-01-31 10:00:00,2019-01-31 14:00:00
18,2019-01-31 15:00:00,2019-01-31 19:00:00
18,2019-02-01 12:00:00,2019-02-01 16:00:00
18,2019-02-01 17:00:00,2019-02-01 21:00:00
18,2019-02-02 11:00:00,2019-02-02 15:00:00
18,2019-02-02 16:00:00,2019-02-02 20:00:00
19,2019-02-05 11:00:00,2019-02-05 15:00:00
19,2019-02-05 16:00:00,2019-02-05 20:00:00
19,2019-02-06 12:00:00,2019-02-06 16:00:00
19,2019-02-06 17:00:00,2019-02-06 21:00:00
19,2019-02-07 10:00:00,2019-02-07 14:00:00
19,2019-02-07 15:00:00,2019-02-07 19:00:00
19,2019-02-08 12:00:00,2019-02-08 16:00:00
19,2019-02-08 17:00:00,2019-02-08 21:00:00
19,2019-02-09 11:00:00,2019-02-09 15:00:00
19,2019-02-09 16:00:00,2019-02-09 20:00:00
20,2019-02-12 11:00:00,2019-02-12 15:00:00
20,2019-02-12 16:00:00,2019-02-12 20:00:00
20,2019-02-13 12:00:00,2019-02-13 16:00:00
20,2019-02-13 17:00:00,2019-02-13 21:00:00
20,2019-02-14 10:00:00,2019-02-14 14:00:00
20,2019-02-14 15:00:00,2019-02-14 19:00:00
20,2019-02-15 12:00:00,2019-02-15 16:00:00
20,2019-02-15 17:00:00,2019-02-15 21:00:00
20,2019-02-16 11:00:00,2019-02-16 15:00:00
20,2019-02-16 16:00:00,2019-02-16 20:00:00
21,2019-02-19 11:00:00,2019-02-19 15:00:00
21,2019-02-19 16:00:00,2019-02-19 20:00:00
21,2019-02-20 12:00:00,2019-02-20 16:00:00
21,2019-02-20 17:00:00,2019-02-20 21:00:00
21,2019-02-21 10:00:00,2019-02-21 14:00:00
21,2019-02-21 15:00:00,2019-02-21 19:00:00
21,2019-02-22 12:00:00,2019-02-22 16:00:00
21,2019-02-22 17:00:00,2019-02-22 21:00:00
21,2019-02-23 11:00:00,2019-02-23 15:00:00
21,2019-02-23 16:00:00,2019-02-23 20:00:00
22,2019-02-26 10:00:00,2019-02-26 14:00:00
22,2019-02-26 15:00:00,2019-02-26 19:00:00
22,2019-02-27 10:00:00,2019-02-27 14:00:00
22,2019-02-27 15:00:00,2019-02-27 19:00:00
22,2019-02-28 13:00:00,2019-02-28 17:00:00
22,2019-02-28 18:00:00,2019-02-28 22:00:00
22,2019-03-01 11:00:00,2019-03-01 15:00:00
