fname,rname,price,availability
Shrimp,Libero Dui PC,10,87
Beef,Libero Dui PC,8,21
Barramundi,Lacus Inc.,11,71
Cream,Nulla Semper Industries,12,26
Yoplait,Dignissim Company,13,91
Yoplait,Ornare Ltd,13,41
Pastry,Ornare Ltd,22,80
Lettuce,Ornare Ltd,11,80
Tomato,Nulla Semper Industries,12,32
Shrimp,Dignissim Company,13,98
Tuna,Ornare Ltd,17,77
Croissant,Libero Dui PC,10,42
Bread,Libero Dui PC,11,42
Tomato,Amet Consectetuer Corp.,12,73
Tuna,Curabitur LLP,10,61
Pastry,Curabitur LLP,12,92
Lettuce,Curabitur LLP,11,92
Cheese,Dignissim Company,12,82
Yoplait,Lacus Inc.,13,50
Lobster,Amet Consectetuer Corp.,30,22
Coffee,Convallis In Limited,11,32
Beef,Amet Consectetuer Corp.,12,49
Bread,Ligula PC,13,36
Croissant,Convallis In Limited,13,42
Bread,Convallis In Limited,13,42
Beer,Convallis In Limited,14,67
Tuna,Lacus Inc.,16,47
Yoplait,Egestas Urna Ltd,16,33
Yoplait,Convallis In Limited,16,99
Lobster,Ligula PC,17,97
Croissant,Dignissim Company,17,74
Bread,Dignissim Company,17,74
Cream,Convallis In Limited,17,82
Corn,Convallis In Limited,17,82
Cheese,Convallis In Limited,17,23
Cream,Amet Consectetuer Corp.,18,26
Pastry,Lacus Inc.,19,62
Lettuce,Lacus Inc.,19,62
Coffee,Dignissim Company,19,88
Bread,Nulla Semper Industries,20,92
Yoplait,Curabitur LLP,21,91
Cocktail,Nulla Semper Industries,22,37
Cream,Libero Dui PC,22,63
Corn,Libero Dui PC,22,63
Cream,Dignissim Company,23,45
Corn,Dignissim Company,23,45
Croissant,Egestas Urna Ltd,24,35
Shrimp,Convallis In Limited,24,20
Barramundi,Curabitur LLP,25,46
Lettuce,Egestas Urna Ltd,26,60
Lobster,Nulla Semper Industries,27,66
Cream,Ligula PC,27,45
Beer,Ornare Ltd,28,94
Barramundi,Ornare Ltd,28,26
Beer,Egestas Urna Ltd,28,52
Cocktail,Convallis In Limited,28,38
Tuna,Ligula PC,29,89
Beef,Ligula PC,29,89
Cheese,Libero Dui PC,29,29
Cocktail,Amet Consectetuer Corp.,29,90
Tomato,Ligula PC,30,43
Shrimp,Ligula PC,30,43
Bread,Amet Consectetuer Corp.,30,66
