scheduleId,startTime,endTime
1,2020-01-01 10:00:00,2020-01-01 12:00:00
1,2020-01-01 13:00:00,2020-01-01 15:00:00
1,2020-01-01 17:00:00,2020-01-01 19:00:00
1,2020-01-01 20:00:00,2020-01-01 22:00:00
1,2020-01-02 10:00:00,2020-01-02 12:00:00
1,2020-01-02 15:00:00,2020-01-02 17:00:00
1,2020-01-02 18:00:00,2020-01-02 20:00:00
1,2020-01-02 21:00:00,2020-01-02 22:00:00
1,2020-01-03 10:00:00,2020-01-03 11:00:00
1,2020-01-03 12:00:00,2020-01-03 14:00:00
1,2020-01-03 16:00:00,2020-01-03 17:00:00
1,2020-01-03 19:00:00,2020-01-03 20:00:00
1,2020-01-04 10:00:00,2020-01-04 12:00:00
1,2020-01-04 18:00:00,2020-01-04 19:00:00
1,2020-01-04 20:00:00,2020-01-04 22:00:00
1,2020-01-05 10:00:00,2020-01-05 12:00:00
1,2020-01-05 13:00:00,2020-01-05 16:00:00
2,2020-01-08 10:00:00,2020-01-08 11:00:00
2,2020-01-08 13:00:00,2020-01-08 15:00:00
2,2020-01-08 16:00:00,2020-01-08 20:00:00
2,2020-01-08 21:00:00,2020-01-08 22:00:00
2,2020-01-09 10:00:00,2020-01-09 12:00:00
2,2020-01-09 13:00:00,2020-01-09 15:00:00
2,2020-01-09 19:00:00,2020-01-09 21:00:00
2,2020-01-10 10:00:00,2020-01-10 11:00:00
2,2020-01-10 13:00:00,2020-01-10 14:00:00
2,2020-01-10 16:00:00,2020-01-10 17:00:00
2,2020-01-10 21:00:00,2020-01-10 22:00:00
2,2020-01-11 12:00:00,2020-01-11 13:00:00
2,2020-01-11 14:00:00,2020-01-11 15:00:00
2,2020-01-11 19:00:00,2020-01-11 22:00:00
2,2020-01-12 15:00:00,2020-01-12 17:00:00
2,2020-01-12 18:00:00,2020-01-12 19:00:00
2,2020-01-12 21:00:00,2020-01-12 22:00:00
2,2020-01-13 10:00:00,2020-01-13 11:00:00
2,2020-01-13 12:00:00,2020-01-13 13:00:00
2,2020-01-13 16:00:00,2020-01-13 17:00:00
2,2020-01-13 21:00:00,2020-01-13 22:00:00
2,2020-01-14 12:00:00,2020-01-14 15:00:00
2,2020-01-14 17:00:00,2020-01-14 19:00:00
2,2020-01-14 20:00:00,2020-01-14 22:00:00
3,2020-01-15 10:00:00,2020-01-15 11:00:00
3,2020-01-15 12:00:00,2020-01-15 14:00:00
3,2020-01-15 17:00:00,2020-01-15 19:00:00
3,2020-01-15 20:00:00,2020-01-15 22:00:00
3,2020-01-16 10:00:00,2020-01-16 12:00:00
3,2020-01-16 13:00:00,2020-01-16 14:00:00
4,2020-01-22 10:00:00,2020-01-22 11:00:00
4,2020-01-22 12:00:00,2020-01-22 13:00:00
4,2020-01-22 14:00:00,2020-01-22 15:00:00
4,2020-01-22 19:00:00,2020-01-22 22:00:00
4,2020-01-23 10:00:00,2020-01-23 11:00:00
4,2020-01-23 15:00:00,2020-01-23 16:00:00
4,2020-01-23 18:00:00,2020-01-23 20:00:00
4,2020-01-24 13:00:00,2020-01-24 14:00:00
4,2020-01-24 16:00:00,2020-01-24 18:00:00
4,2020-01-24 19:00:00,2020-01-24 22:00:00
4,2020-01-25 10:00:00,2020-01-25 13:00:00
4,2020-01-25 16:00:00,2020-01-25 17:00:00
4,2020-01-25 19:00:00,2020-01-25 20:00:00
4,2020-01-26 13:00:00,2020-01-26 15:00:00
5,2020-01-30 10:00:00,2020-01-30 11:00:00
5,2020-01-30 13:00:00,2020-01-30 14:00:00
5,2020-01-30 15:00:00,2020-01-30 18:00:00
5,2020-01-30 19:00:00,2020-01-30 20:00:00
5,2020-01-31 11:00:00,2020-01-31 12:00:00
5,2020-01-31 14:00:00,2020-01-31 16:00:00
5,2020-01-31 20:00:00,2020-01-31 21:00:00
5,2020-02-01 10:00:00,2020-02-01 14:00:00
6,2020-02-08 11:00:00,2020-02-08 12:00:00
6,2020-02-08 13:00:00,2020-02-08 14:00:00
6,2020-02-08 16:00:00,2020-02-08 17:00:00
6,2020-02-08 18:00:00,2020-02-08 22:00:00
