scheduleId,startTime,endTime
289,2019-01-01 11:00:00,2019-01-01 15:00:00
289,2019-01-01 16:00:00,2019-01-01 20:00:00
289,2019-01-02 12:00:00,2019-01-02 16:00:00
289,2019-01-02 17:00:00,2019-01-02 21:00:00
289,2019-01-03 10:00:00,2019-01-03 14:00:00
289,2019-01-03 15:00:00,2019-01-03 19:00:00
289,2019-01-04 13:00:00,2019-01-04 17:00:00
289,2019-01-04 18:00:00,2019-01-04 22:00:00
289,2019-01-05 10:00:00,2019-01-05 14:00:00
289,2019-01-05 15:00:00,2019-01-05 19:00:00
290,2019-01-08 11:00:00,2019-01-08 15:00:00
290,2019-01-08 16:00:00,2019-01-08 20:00:00
290,2019-01-09 12:00:00,2019-01-09 16:00:00
290,2019-01-09 17:00:00,2019-01-09 21:00:00
290,2019-01-10 10:00:00,2019-01-10 14:00:00
290,2019-01-10 15:00:00,2019-01-10 19:00:00
290,2019-01-11 13:00:00,2019-01-11 17:00:00
290,2019-01-11 18:00:00,2019-01-11 22:00:00
290,2019-01-12 10:00:00,2019-01-12 14:00:00
290,2019-01-12 15:00:00,2019-01-12 19:00:00
291,2019-01-15 11:00:00,2019-01-15 15:00:00
291,2019-01-15 16:00:00,2019-01-15 20:00:00
291,2019-01-16 12:00:00,2019-01-16 16:00:00
291,2019-01-16 17:00:00,2019-01-16 21:00:00
291,2019-01-17 10:00:00,2019-01-17 14:00:00
291,2019-01-17 15:00:00,2019-01-17 19:00:00
291,2019-01-18 13:00:00,2019-01-18 17:00:00
291,2019-01-18 18:00:00,2019-01-18 22:00:00
291,2019-01-19 10:00:00,2019-01-19 14:00:00
291,2019-01-19 15:00:00,2019-01-19 19:00:00
292,2019-01-22 11:00:00,2019-01-22 15:00:00
292,2019-01-22 16:00:00,2019-01-22 20:00:00
292,2019-01-23 12:00:00,2019-01-23 16:00:00
292,2019-01-23 17:00:00,2019-01-23 21:00:00
292,2019-01-24 10:00:00,2019-01-24 14:00:00
292,2019-01-24 15:00:00,2019-01-24 19:00:00
292,2019-01-25 13:00:00,2019-01-25 17:00:00
292,2019-01-25 18:00:00,2019-01-25 22:00:00
292,2019-01-26 10:00:00,2019-01-26 14:00:00
292,2019-01-26 15:00:00,2019-01-26 19:00:00
293,2019-01-31 11:00:00,2019-01-31 15:00:00
293,2019-01-31 16:00:00,2019-01-31 20:00:00
293,2019-02-01 13:00:00,2019-02-01 17:00:00
293,2019-02-01 18:00:00,2019-02-01 22:00:00
293,2019-02-02 11:00:00,2019-02-02 15:00:00
293,2019-02-02 16:00:00,2019-02-02 20:00:00
293,2019-02-03 13:00:00,2019-02-03 17:00:00
293,2019-02-03 18:00:00,2019-02-03 22:00:00
293,2019-02-04 10:00:00,2019-02-04 14:00:00
293,2019-02-04 15:00:00,2019-02-04 19:00:00
294,2019-02-07 11:00:00,2019-02-07 15:00:00
294,2019-02-07 16:00:00,2019-02-07 20:00:00
294,2019-02-08 13:00:00,2019-02-08 17:00:00
294,2019-02-08 18:00:00,2019-02-08 22:00:00
294,2019-02-09 11:00:00,2019-02-09 15:00:00
294,2019-02-09 16:00:00,2019-02-09 20:00:00
294,2019-02-10 13:00:00,2019-02-10 17:00:00
294,2019-02-10 18:00:00,2019-02-10 22:00:00
294,2019-02-11 10:00:00,2019-02-11 14:00:00
294,2019-02-11 15:00:00,2019-02-11 19:00:00
295,2019-02-14 11:00:00,2019-02-14 15:00:00
295,2019-02-14 16:00:00,2019-02-14 20:00:00
295,2019-02-15 13:00:00,2019-02-15 17:00:00
295,2019-02-15 18:00:00,2019-02-15 22:00:00
295,2019-02-16 11:00:00,2019-02-16 15:00:00
295,2019-02-16 16:00:00,2019-02-16 20:00:00
295,2019-02-17 13:00:00,2019-02-17 17:00:00
295,2019-02-17 18:00:00,2019-02-17 22:00:00
295,2019-02-18 10:00:00,2019-02-18 14:00:00
295,2019-02-18 15:00:00,2019-02-18 19:00:00
296,2019-02-21 11:00:00,2019-02-21 15:00:00
296,2019-02-21 16:00:00,2019-02-21 20:00:00
296,2019-02-22 13:00:00,2019-02-22 17:00:00
296,2019-02-22 18:00:00,2019-02-22 22:00:00
296,2019-02-23 11:00:00,2019-02-23 15:00:00
296,2019-02-23 16:00:00,2019-02-23 20:00:00
296,2019-02-24 13:00:00,2019-02-24 17:00:00
296,2019-02-24 18:00:00,2019-02-24 22:00:00
296,2019-02-25 10:00:00,2019-02-25 14:00:00
296,2019-02-25 15:00:00,2019-02-25 19:00:00
297,2019-02-26 10:00:00,2019-02-26 14:00:00
297,2019-02-26 15:00:00,2019-02-26 19:00:00
297,2019-02-27 11:00:00,2019-02-27 15:00:00
297,2019-02-27 16:00:00,2019-02-27 20:00:00
297,2019-02-28 12:00:00,2019-02-28 16:00:00
297,2019-02-28 17:00:00,2019-02-28 21:00:00
297,2019-03-01 13:00:00,2019-03-01 17:00:00
297,2019-03-01 18:00:00,2019-03-01 22:00:00
297,2019-03-02 13:00:00,2019-03-02 17:00:00
297,2019-03-02 18:00:00,2019-03-02 22:00:00
298,2019-03-05 10:00:00,2019-03-05 14:00:00
298,2019-03-05 15:00:00,2019-03-05 19:00:00
298,2019-03-06 11:00:00,2019-03-06 15:00:00
298,2019-03-06 16:00:00,2019-03-06 20:00:00
298,2019-03-07 12:00:00,2019-03-07 16:00:00
298,2019-03-07 17:00:00,2019-03-07 21:00:00
298,2019-03-08 13:00:00,2019-03-08 17:00:00
298,2019-03-08 18:00:00,2019-03-08 22:00:00
298,2019-03-09 13:00:00,2019-03-09 17:00:00
298,2019-03-09 18:00:00,2019-03-09 22:00:00
299,2019-03-12 10:00:00,2019-03-12 14:00:00
299,2019-03-12 15:00:00,2019-03-12 19:00:00
299,2019-03-13 11:00:00,2019-03-13 15:00:00
299,2019-03-13 16:00:00,2019-03-13 20:00:00
299,2019-03-14 12:00:00,2019-03-14 16:00:00
299,2019-03-14 17:00:00,2019-03-14 21:00:00
299,2019-03-15 13:00:00,2019-03-15 17:00:00
299,2019-03-15 18:00:00,2019-03-15 22:00:00
299,2019-03-16 13:00:00,2019-03-16 17:00:00
299,2019-03-16 18:00:00,2019-03-16 22:00:00
300,2019-03-19 10:00:00,2019-03-19 14:00:00
300,2019-03-19 15:00:00,2019-03-19 19:00:00
300,2019-03-20 11:00:00,2019-03-20 15:00:00
300,2019-03-20 16:00:00,2019-03-20 20:00:00
300,2019-03-21 12:00:00,2019-03-21 16:00:00
300,2019-03-21 17:00:00,2019-03-21 21:00:00
300,2019-03-22 13:00:00,2019-03-22 17:00:00
300,2019-03-22 18:00:00,2019-03-22 22:00:00
