scheduleId,startTime,endTime
375,2020-01-01 10:00:00,2020-01-01 14:00:00
375,2020-01-01 15:00:00,2020-01-01 19:00:00
375,2020-01-02 10:00:00,2020-01-02 14:00:00
375,2020-01-02 15:00:00,2020-01-02 19:00:00
375,2020-01-03 11:00:00,2020-01-03 15:00:00
375,2020-01-03 16:00:00,2020-01-03 20:00:00
375,2020-01-04 10:00:00,2020-01-04 14:00:00
375,2020-01-04 15:00:00,2020-01-04 19:00:00
375,2020-01-05 10:00:00,2020-01-05 14:00:00
375,2020-01-05 15:00:00,2020-01-05 19:00:00
376,2020-01-08 10:00:00,2020-01-08 14:00:00
376,2020-01-08 15:00:00,2020-01-08 19:00:00
376,2020-01-09 10:00:00,2020-01-09 14:00:00
376,2020-01-09 15:00:00,2020-01-09 19:00:00
376,2020-01-10 11:00:00,2020-01-10 15:00:00
376,2020-01-10 16:00:00,2020-01-10 20:00:00
376,2020-01-11 10:00:00,2020-01-11 14:00:00
376,2020-01-11 15:00:00,2020-01-11 19:00:00
376,2020-01-12 10:00:00,2020-01-12 14:00:00
376,2020-01-12 15:00:00,2020-01-12 19:00:00
377,2020-01-15 10:00:00,2020-01-15 14:00:00
377,2020-01-15 15:00:00,2020-01-15 19:00:00
377,2020-01-16 10:00:00,2020-01-16 14:00:00
377,2020-01-16 15:00:00,2020-01-16 19:00:00
377,2020-01-17 11:00:00,2020-01-17 15:00:00
377,2020-01-17 16:00:00,2020-01-17 20:00:00
377,2020-01-18 10:00:00,2020-01-18 14:00:00
377,2020-01-18 15:00:00,2020-01-18 19:00:00
377,2020-01-19 10:00:00,2020-01-19 14:00:00
377,2020-01-19 15:00:00,2020-01-19 19:00:00
378,2020-01-22 10:00:00,2020-01-22 14:00:00
378,2020-01-22 15:00:00,2020-01-22 19:00:00
378,2020-01-23 10:00:00,2020-01-23 14:00:00
378,2020-01-23 15:00:00,2020-01-23 19:00:00
378,2020-01-24 11:00:00,2020-01-24 15:00:00
378,2020-01-24 16:00:00,2020-01-24 20:00:00
378,2020-01-25 10:00:00,2020-01-25 14:00:00
378,2020-01-25 15:00:00,2020-01-25 19:00:00
378,2020-01-26 10:00:00,2020-01-26 14:00:00
378,2020-01-26 15:00:00,2020-01-26 19:00:00
379,2020-01-31 11:00:00,2020-01-31 15:00:00
379,2020-01-31 16:00:00,2020-01-31 20:00:00
