fname,rname,price,availability
Barramundi,Curabitur LLP,11,71
Barramundi,Lacus Inc.,25,46
Barramundi,Ornare Ltd,28,26
Basil,Nulla Semper Industries,29,34
Beef,Amet Consectetuer Corp.,8,21
Beef,Convallis In Limited,29,89
Beef,Dignissim Company,32.5,95
Beef,Libero Dui PC,16.5,21
Beef,Ligula PC,29,89
Beef,Nulla Semper Industries,7,48
Beer,Convallis In Limited,14,67
Beer,Egestas Urna Ltd,28,94
Beer,Ornare Ltd,28,52
Bread,Amet Consectetuer Corp.,13,36
Bread,Convallis In Limited,17,74
Bread,Curabitur LLP,20,92
Bread,Dignissim Company,14,73
Bread,Egestas Urna Ltd,8.9,98
Bread,Lacus Inc.,11,32
Bread,Libero Dui PC,13,42
Bread,Ligula PC,17,74
Bread,Nulla Semper Industries,30,66
Bread,Ornare Ltd,20,92
Cheese,Convallis In Limited,12,82
Cheese,Dignissim Company,17,23
Cheese,Libero Dui PC,29,29
Cocktail,Amet Consectetuer Corp.,22,37
Cocktail,Convallis In Limited,28,38
Cocktail,Nulla Semper Industries,29,90
Coffee,Amet Consectetuer Corp.,11,32
Coffee,Convallis In Limited,11.9,32
Coffee,Dignissim Company,19,88
Coffee,Libero Dui PC,22,36
Coffee,Ligula PC,22,35
Coffee,Nulla Semper Industries,24,43
Corn,Convallis In Limited,17,82
Corn,Dignissim Company,22,63
Corn,Libero Dui PC,23,45
Cream,Amet Consectetuer Corp.,17,82
Cream,Convallis In Limited,22,63
Cream,Curabitur LLP,23,45
Cream,Dignissim Company,12,47
Cream,Egestas Urna Ltd,24,87
Cream,Lacus Inc.,23,85
Cream,Libero Dui PC,17,82
Cream,Ligula PC,23,45
Cream,Nulla Semper Industries,18,26
Cream,Ornare Ltd,8,26
Croissant,Convallis In Limited,10,42
Croissant,Dignissim Company,13,42
Croissant,Egestas Urna Ltd,17,74
Croissant,Libero Dui PC,24,35
Lettuce,Curabitur LLP,11,80
Lettuce,Egestas Urna Ltd,11,92
Lettuce,Lacus Inc.,19,62
Lettuce,Ornare Ltd,26,60
Lobster,Amet Consectetuer Corp.,30,22
Lobster,Ligula PC,17,97
Lobster,Nulla Semper Industries,27,66
Pastry,Convallis In Limited,22,80
Pastry,Curabitur LLP,19,62
Pastry,Dignissim Company,19,62
Pastry,Egestas Urna Ltd,9.5,92
Pastry,Lacus Inc.,8.5,80
Pastry,Ornare Ltd,9,33
Shrimp,Convallis In Limited,10,87
Shrimp,Curabitur LLP,24,20
Shrimp,Dignissim Company,19,45
Shrimp,Egestas Urna Ltd,26,89
Shrimp,Lacus Inc.,18,80
Shrimp,Libero Dui PC,12.5,27
Shrimp,Ligula PC,12,98
Shrimp,Ornare Ltd,8,87
Tomato,Amet Consectetuer Corp.,12,32
Tomato,Ligula PC,12,73
Tomato,Nulla Semper Industries,30,43
Tuna,Curabitur LLP,17,77
Tuna,Lacus Inc.,10,61
Tuna,Ligula PC,16,47
Tuna,Ornare Ltd,29,89
Yoplait,Convallis In Limited,13,91
Yoplait,Curabitur LLP,13,50
Yoplait,Dignissim Company,21,91
Yoplait,Egestas Urna Ltd,21,91
Yoplait,Lacus Inc.,16,33
Yoplait,Ornare Ltd,8.9,91
